"","mean.D75","mean.D150","mean.D300","mean.D500","mean.D700","mean.D1000","mean.D1300","mean.D1600","mean.D2000","mean.D3000","mean.D4000","x","y","area"
"59.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.185477569699287,-100,7300,9519.86962734722
"59.1.1",0.768471360206604,1.18301665782928,1.180095911026,1.47006165981293,1.8055682182312,2.37628078460693,2.89591598510742,3.35037159919739,3.86704397201538,4.96662378311157,5.82568359375,100,7300,10421.3685909174
"60.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.80657958984375,1.21751701831818,0.22839780151844,-100,7200,9561.80138684623
"60.1.1",0.968592762947083,1.37365996837616,1.86854553222656,2.4647843837738,2.40436410903931,2.46921706199646,2.99090170860291,3.41715025901794,3.93390250205994,5.03222846984863,5.88878679275513,100,7200,10379.4570937194
"61.1",0.939420521259308,1.29030358791351,1.86526715755463,2.45058965682983,2.9361834526062,2.61118578910828,3.03763508796692,3.45738053321838,3.94557666778564,5.00196504592896,5.8589186668396,100,7100,10322.2050014678
"61.1.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.189384460449219,0.677107632160187,0.735973238945007,-100,7100,9619.06078037247
"62.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.55795156955719,1.09222090244293,-100,7000,9686.27192957699
"62.1.1",0.747800529003143,1.12149727344513,1.64374685287476,2.21977567672729,2.69820237159729,2.75980877876282,3.27870941162109,3.63067555427551,4.08222770690918,5.09060144424438,5.90992403030396,100,7000,10254.9847234339
"63.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0953776612877846,0.349892437458038,-100,6900,9754.42937489599
"63.1.1",0.74835205078125,1.11831259727478,1.65883767604828,2.23271799087524,2.70815992355347,3.1993613243103,3.71497392654419,4.05840587615967,4.56294012069702,5.53058958053589,6.37052011489868,100,6900,10186.7984460257
"64.1",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.171688660979271,-100,6800,9815.52217587084
